session_name,question,response
Day 3,could be improved for the Data visualization,more hands coding exercises
Day 3,could be improved for the group project assignment,longer time
Day 3,worked well for the Data visualization,clear tutoring session
Day 3,worked well for the group project assignment,great to share and work together
