date,response
2026-05-07,"no, it was really great,"
2026-05-07,"It feels like laerning a new language in 6 days (3 days basic and 3 days intermediate), but it really needs a lot of practice before I will feel comportable. But I feel like it provides me with good working habbits, and som many usefull fundtions and tips (that I would have never known if had not attended this course). But I feel like it is sometimes hard for me to wrap my head around how R works (or the programming below it), and also all the terms."
2026-05-07,Thank you so much for another great course! So happy to attend.
2026-05-07,It's been a true pleasure!
2026-05-07,"Just a very small thing, If possible, it would be nice to have the feedback site to open in a new tab :-)"
2026-05-07,"Great course, I love it !"
