statement,response,n
I think I learned a lot from this workshop,Agree,6
I think I learned a lot from this workshop,Strongly agree,8
I think the content on the website clearly communicated the concepts,Agree,4
I think the content on the website clearly communicated the concepts,Strongly agree,10
I think the instructors clearly communicated the concepts,Agree,6
I think the instructors clearly communicated the concepts,Strongly agree,8
I think there was a good mix of learning activities that encouraged my active participation,Agree,6
I think there was a good mix of learning activities that encouraged my active participation,Strongly agree,8
I think there was good alignment between the learning activities,Agree,4
I think there was good alignment between the learning activities,Strongly agree,10
"I think this workshop has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree,8
"I think this workshop has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Neutral,1
"I think this workshop has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree,5
"In general, I think this was a good workshop",Agree,3
"In general, I think this was a good workshop",Strongly agree,11
