session_name,question,response,course_name
Day 2,worked well for the Creating reproducible documents,Easy to follow the practical exercises,NA
Day 2,could be improved for the Creating reproducible documents,A more broad introduction to the idea of quarto,NA
Day 2,worked well for the second day's Social/Networking activity,Not attended yet.,NA
Day 2,could be improved for the second day's Social/Networking activity,Not attended yet.,NA
Day 2,worked well for the Data management and wrangling,It was nice working on a dataset,NA
Day 2,could be improved for the Data management and wrangling,Making a basic start document/guide to use in the future would be really nice,NA
Day 2,worked well for the Creating reproducible documents,It was nice working on a dataset,NA
Day 2,could be improved for the Creating reproducible documents,Again creating a form of guide for the future,NA
Day 2,worked well for the second day's Social/Networking activity,:-),NA
Day 2,could be improved for the second day's Social/Networking activity,Not done it yet - but probably good,NA
Day 2,worked well for the Data management and wrangling,The type along was very good to see that I could actually make it work.,NA
Day 2,could be improved for the Data management and wrangling,"Nothing, it was very good.",NA
Day 2,worked well for the Creating reproducible documents,"Again, the type along. That we had to do it at the same time, and that we are waiting for all to be ready.",NA
Day 2,could be improved for the Creating reproducible documents,No good ideas,NA
Day 2,worked well for the second day's Social/Networking activity,"We did not have time for it after lunch, so we have not done it yet.",NA
Day 2,could be improved for the second day's Social/Networking activity,"We did not have time for it after lunch, so we have not done it yet.",NA
Day 2,worked well for the Data management and wrangling,Going through the different commands in R,NA
Day 2,could be improved for the Data management and wrangling,Applying basic biostatistics commands in a basic data set,NA
Day 2,worked well for the Creating reproducible documents,The tempo and relevant basic codes,NA
Day 2,could be improved for the Creating reproducible documents,Maybe state where and when it is usable for us researchers to be,NA
Day 2,worked well for the Data management and wrangling,"Clear instructions, nice to learn how to make tidy data",NA
Day 2,could be improved for the Data management and wrangling,"A little fast, but we were a little behind schedule",NA
Day 2,worked well for the Creating reproducible documents,"Amazing feature, thanks for learning this. Good pace of the session",NA
Day 2,could be improved for the Creating reproducible documents,No suggestions,NA
Day 2,worked well for the Data management and wrangling,"Code along, generally informative stuff",NA
Day 2,could be improved for the Data management and wrangling,"Use more time on this session, as it is very important for basic understanding, and shouldn't be shortened down due to time issues.",NA
Day 2,worked well for the Creating reproducible documents,The explaining of code chunks and table showing,NA
Day 2,could be improved for the Creating reproducible documents,dunno. In general you always feel you are just scratching the surface and still don't understand anything,NA
Day 2,worked well for the second day's Social/Networking activity,time will tell,NA
Day 2,could be improved for the second day's Social/Networking activity,time will tell,NA
Day 2,worked well for the Data management and wrangling,"The speed was good and it was easy to follow along. If there is any issues, there are enough helpers that can help you quickly and it is easy to catch up if you have fallen behind. A great session!",NA
Day 2,could be improved for the Data management and wrangling,If I would know I would tell you!,NA
Day 2,worked well for the Creating reproducible documents,"Same as previous answer, this was a great session and I really learned a lot. :)",NA
Day 2,could be improved for the Creating reproducible documents,Nothing that i can think of.,NA
Day 2,worked well for the second day's Social/Networking activity,Looking forward to it :),NA
Day 2,could be improved for the second day's Social/Networking activity,There seems to be problem with the network connection at this location. Maybe the technicians can improve this for next time?,NA
Day 2,worked well for the Data management and wrangling,the reading steps really helped,NA
Day 2,could be improved for the Data management and wrangling,"Due to time constrictions, some concetps were really fast. Not super problematic, we can go back and read it, just a bit stressful with the ""fear"" os missing what is going on",NA
Day 2,worked well for the Creating reproducible documents,really nicely explained,NA
Day 2,could be improved for the Creating reproducible documents,no comments,NA
Day 2,worked well for the Data management and wrangling,Very nice to get a tidy overview. Very usefull,NA
Day 2,could be improved for the Data management and wrangling,none,NA
Day 2,worked well for the Creating reproducible documents,All,NA
Day 2,could be improved for the Creating reproducible documents,Maybe start a session after a lunch-break with a small 5-min catch-up on where we are and how to re-load the project.. in case you get lost.,NA
Day 2,worked well for the Data management and wrangling,The code alongs,NA
Day 2,could be improved for the Data management and wrangling,"I asked some questions in one of the exercises, where I felt looked down upon, because I missed information on a calculation in the exercise description. I'm certain that it was not meant personally and as a friendly ""laugh"", but I got a little hurt by it.",NA
Day 2,worked well for the Creating reproducible documents,We had some nice discussions,NA
Day 2,could be improved for the Creating reproducible documents,"The chunk labelling was a bit confusing, since I read it as if the code chunk labelled r setup was supposed to contain labels of all the code chunks added to the qmd",NA
