session_name,question,response,course_name
Day 2,worked well for the Data management and wrangling,Code along was good.,NA
Day 2,could be improved for the Data management and wrangling,Could be nice to tidy a messy data set as exercise.,NA
Day 2,worked well for the Creating reproducible documents,Nice to code along.,NA
Day 2,could be improved for the Creating reproducible documents,could be nice to show how to make nice tables - maybe it is coming tomorrow?,NA
Day 2,worked well for the lecture presentations,Good to stand up and do some thinking,NA
Day 2,worked well for the Data management and wrangling,It is super usefull information and code that we will probably use in the future,NA
Day 2,could be improved for the Data management and wrangling,It was a long time and a bit slow,NA
Day 2,worked well for the Creating reproducible documents,"It was the fun part for me, because we are able to see how can we actually use R for.",NA
Day 2,could be improved for the Creating reproducible documents,Give some examples of how to change colors.,NA
Day 2,worked well for the lecture presentations,Good way of changing the pace and cleaning our mind a bit.,NA
Day 2,could be improved for the lecture presentations,Maybe add some practical examples.,NA
Day 2,worked well for the Data management and wrangling,The text explained the function very well.,NA
Day 2,could be improved for the Data management and wrangling,Try to not only made one-way-communication for learning. Some could be done in groups etc. Include some small energiser etc.,NA
Day 2,worked well for the Creating reproducible documents,Again - same comments as above,NA
Day 2,could be improved for the Creating reproducible documents,Again - same comments as above,NA
Day 2,worked well for the lecture presentations,Not relevant,NA
Day 2,could be improved for the lecture presentations,not relevant,NA
Day 2,worked well for the Data management and wrangling,"Hands-on training, trying out different functions",NA
Day 2,could be improved for the Data management and wrangling,Maybe provide extra exercises if people are waiting for the group,NA
Day 2,worked well for the Creating reproducible documents,Hands-on training,NA
Day 2,could be improved for the Creating reproducible documents,Maybe provide extra exercises if people are waiting for the group,NA
Day 2,worked well for the lecture presentations,Standing during the lecture,NA
Day 2,could be improved for the lecture presentations,Maybe give a bit more time to discuss ideas after exercises,NA
Day 2,worked well for the Data management and wrangling,It was nice structured with the possibility to code along and have a basic understanding of piping and basic dplyr functions,NA
Day 2,could be improved for the Data management and wrangling,"It is always difficult with different prerequisites, but I could use more (and a little more complex) exercises",NA
Day 2,worked well for the Creating reproducible documents,"Nice introduction to R Markdown, I hope it will be expanded tomorrow",NA
Day 2,could be improved for the Creating reproducible documents,"Nothing really, I think it takes practice to get used to",NA
Day 2,worked well for the lecture presentations,*,NA
Day 2,could be improved for the lecture presentations,*,NA
Day 2,worked well for the Data management and wrangling,Proposed work plan was logically organized.,NA
Day 2,could be improved for the Data management and wrangling,Better speaker preparation. Better time management. The most challenging part of the session was compromised because of speaker's poor management of the session. Learning was compromised.,NA
Day 2,worked well for the Creating reproducible documents,We only started it today but it was fine so far.,NA
Day 2,could be improved for the Creating reproducible documents,"Instructions were clear and effective, but not much understanding of what was being done.",NA
Day 2,worked well for the lecture presentations,Dynamics,NA
Day 2,could be improved for the lecture presentations,We were too tired to enjoy it.,NA
Day 2,worked well for the Data management and wrangling,The ode-along was very nice and comprehensible,NA
Day 2,could be improved for the Data management and wrangling,I missed a code to cross check the new variables and the restrictions that were made along the way (e.g. like codebook in Stata),NA
Day 2,worked well for the Creating reproducible documents,Nothing worked! I was not able to knit to HTML due to computer problems,NA
Day 2,could be improved for the Creating reproducible documents,See previous answer,NA
Day 2,worked well for the lecture presentations,It works very well when we stand up. It makes the presentation more lively and the audience more engaged,NA
Day 2,worked well for the Data management and wrangling,Learning about Git and Github,NA
Day 2,could be improved for the Data management and wrangling,More time specified for this part may improve it more.,NA
Day 2,worked well for the Creating reproducible documents,Creating/setting up R markdown files,NA
Day 2,could be improved for the Creating reproducible documents,All is fine,NA
Day 2,worked well for the lecture presentations,Group discussion,NA
Day 2,could be improved for the lecture presentations,improved,NA
Day 2,worked well for the Data management and wrangling,"I love code-along. Good pace so that you can keep up when you first start to get familiar with R. Really liked the use of real data, to better understand.",NA
Day 2,could be improved for the Data management and wrangling,I unfortunately have no ideas for improvement.,NA
Day 2,worked well for the Creating reproducible documents,Really got to se the magic of R,NA
Day 2,could be improved for the Creating reproducible documents,I unfortunately have no ideas for improvement.,NA
Day 2,worked well for the lecture presentations,"Really liked getting perspectives on something we often don't question in our daily life, but we really need ti.",NA
Day 2,could be improved for the lecture presentations,I unfortunately have no ideas for improvement.,NA
Day 2,worked well for the Data management and wrangling,the detailed notes and the  work along session was very helpful to grasp the topic.,NA
Day 2,could be improved for the Data management and wrangling,there probably isn't time for it but perhaps more excercises will help to commit the method to memory,NA
Day 2,worked well for the Creating reproducible documents,the detailed notes were very helpful,NA
Day 2,could be improved for the Creating reproducible documents,it might be helpful to ask the students to do an excercise similar to the wrangling session,NA
Day 2,worked well for the lecture presentations,The interactive approach was very valuable,NA
Day 2,could be improved for the lecture presentations,I am happy with how the lectures were spread out.,NA
Day 2,worked well for the Data management and wrangling,All coding sessions went pretty well and I enjoyed all day :),NA
Day 2,could be improved for the Data management and wrangling,"I would like to recommend to include some time to show how to import our own data sets. Most of the day we were working on an available dataset (I assume ""nhanes"") which might be better if we could learn how to import for example an Excel or csv datafile",NA
Day 2,worked well for the Creating reproducible documents,That was fun :) as long as you can see your rewards (visible rewards :) ) you feel good!,NA
Day 2,could be improved for the Creating reproducible documents,None,NA
Day 2,worked well for the lecture presentations,I enjoyed all the presentation sessions.,NA
Day 2,could be improved for the lecture presentations,It would be nice if time to time you encourage participants to do a physical activity such as standing up and have a 2-3 minutes short discussion about the relevant topics.,NA
Day 2,worked well for the Data management and wrangling,"Slow explanation of what each function does, how you can use them, and the process of saving the files etc",NA
Day 2,could be improved for the Data management and wrangling,Potentially include common mistakes and pitfalls when managing big data?,NA
Day 2,worked well for the Creating reproducible documents,Using the tables 'we' made and seeing how we can apply them to our own writing etc,NA
Day 2,could be improved for the Creating reproducible documents,"More information on font changes, table formatting, and whether referencing softwares can be included",NA
Day 2,worked well for the lecture presentations,The interactive style and that it was a two-way street,NA
Day 2,could be improved for the lecture presentations,"Ironically, being able to see the slides would have been nice to follow and read some of the points and words being made",NA
Day 2,worked well for the Data management and wrangling,really nice with the code along to learn some of the basic data wrangling,NA
Day 2,could be improved for the Data management and wrangling,Don't know,NA
Day 2,worked well for the Creating reproducible documents,Good introduction to what a markdown file is and how to use it,NA
Day 2,could be improved for the Creating reproducible documents,Don't know,NA
Day 2,worked well for the lecture presentations,"Nice with the informal setting with  standing, also to change position from sitting all day",NA
Day 2,could be improved for the lecture presentations,More discussions potentially,NA
Day 2,worked well for the Data management and wrangling,It was really nice to start learning and playing around with some basic coding in R,NA
Day 2,could be improved for the Data management and wrangling,I think the practical application of each step could be described a bit better. E.g. in what situations would each step be applicable,NA
Day 2,worked well for the Creating reproducible documents,"It was really neat to learn about creating word and html documents, which we are used to working with in other circumstances.",NA
Day 2,could be improved for the Creating reproducible documents,"I think the session was fairly brief, but I understand you don't have time to show a lot.",NA
Day 2,worked well for the lecture presentations,"Very clear, step by step presentations",NA
Day 2,could be improved for the lecture presentations,Maybe show some examples of things created in R and R markdown?,NA
Day 2,worked well for the Data management and wrangling,It was very helpful to go through the text and do code-along. I enjoyed it and learned alot.,NA
Day 2,could be improved for the Data management and wrangling,There is too much noise when the helpers try to help people. distracting.,NA
Day 2,worked well for the Creating reproducible documents,It was fun and helpful. I had a great time. R is amazing.,NA
Day 2,could be improved for the Creating reproducible documents,no comment.,NA
Day 2,worked well for the lecture presentations,I loved the fact that we are called out to move around in the room. stand up in the group and take part in the discussions. Luke's passion is contagious!,NA
Day 2,could be improved for the lecture presentations,"The slides might a go a bit fast, so I don't get the time to read the. But Luke is very good at explaining and presenting, so I don't feel like missing out on anything :)",NA
Day 2,worked well for the Data management and wrangling,"Code along, introduction to basic codes, nice that we have to use parts of what we learned yesterday",NA
Day 2,worked well for the Creating reproducible documents,"I think it worked well. Too little time for R Markdown, but I think we will use more time tomorrow.",NA
Day 2,could be improved for the Creating reproducible documents,Maybe include a small walk (e.g. including some discussion points) in the afternoon of day 2.,NA
Day 2,worked well for the lecture presentations,Reflections on our own practice. Nice that we could stand up for a while.,NA
Day 2,worked well for the Data management and wrangling,"I found this session useful, we learned many different actions from dplyr to manage and edit our data, which I personally think is very important, as every package or script you find online will ask you to have your data formatted in a certain way.",NA
Day 2,could be improved for the Data management and wrangling,No comments from my side,NA
Day 2,worked well for the Creating reproducible documents,"I enjoyed learning about R markdown, it looks really exciting for data sharing.",NA
Day 2,could be improved for the Creating reproducible documents,"I'm guessing we will learn more about Rmarkdown during the 3rd day, I felt that we just scrtched the surface of it today.",NA
Day 2,worked well for the lecture presentations,"It was really inspiring, I enjoyed the lecture",NA
Day 2,could be improved for the lecture presentations,"No comments, it was a great talk",NA
Day 2,worked well for the Data management and wrangling,This section worked very well since I could understand and reinforce the topics that I learned in the day before.,NA
Day 2,could be improved for the Data management and wrangling,A lot of new things to learn in a short period of time. Maybe more time dedicated for this section should work better at least for me.,NA
Day 2,worked well for the Creating reproducible documents,"This section was great since we could get an overview about the importance to share our work with scientific and non-scientific community, giving us a wide understand about the importance of science for society.",NA
Day 2,could be improved for the Creating reproducible documents,I do not have additional comments for this section.,NA
Day 2,worked well for the lecture presentations,This section worked very well for me but I would like to have more time dedicated for this section.,NA
Day 2,could be improved for the lecture presentations,I think that real examples of how R Markdown could be used in order to illustrate better the functionalities.,NA
Day 2,worked well for the Data management and wrangling,It was a good session overall.,NA
Day 2,could be improved for the Data management and wrangling,"Not sure if it could have been added to this part of the course, but while mentioning about the data/tables/table names, it could have been ideal to openly mention what is ethically correct to call the variables. There are many papers still using ""gender"", ""caucasian"", presenting % of males only etc. and it is so commonly used that junior researcher think this is the correct way to do it, and often times senior researcher are not even aware.",NA
Day 2,worked well for the Creating reproducible documents,Good session.,NA
Day 2,could be improved for the Creating reproducible documents,It was good.,NA
Day 2,worked well for the lecture presentations,"Really important aspects of major academic problems were mentioned, it was great to think about the reality and practically and discuss what to do. These are the things usually are not discussed but quite fundamental.",NA
Day 2,could be improved for the lecture presentations,Maybe some real life examples.,NA
