session_name,question,response,course_name
Day 2,worked well for the Data management and wrangling,The code-allong on using Rstudio,NA
Day 2,could be improved for the Data management and wrangling,all good,NA
Day 2,worked well for the Creating reproducible documents,The coe-along,NA
Day 2,could be improved for the Creating reproducible documents,all good,NA
Day 2,worked well for the lecture presentations,Nice perspectives,NA
Day 2,could be improved for the lecture presentations,a bit long,NA
Day 2,worked well for the Data management and wrangling,codes worked,NA
Day 2,could be improved for the Data management and wrangling,nothing specific,NA
Day 2,worked well for the Creating reproducible documents,enjoy the session,NA
Day 2,could be improved for the Creating reproducible documents,nothing specific,NA
Day 2,worked well for the lecture presentations,nice struture,NA
Day 2,could be improved for the lecture presentations,nothing specific,NA
Day 2,worked well for the Data management and wrangling,"hands-on, nice tasks, great instructors",NA
Day 2,could be improved for the Data management and wrangling,More time to do hands-on. Shorter breaks,NA
Day 2,worked well for the Creating reproducible documents,Same as above.,NA
Day 2,could be improved for the Creating reproducible documents,More time for hands-on.,NA
Day 2,worked well for the lecture presentations,"Questions, interactive.",NA
Day 2,could be improved for the lecture presentations,Nothing,NA
Day 2,worked well for the Data management and wrangling,Nice to work with real data from a related field,NA
Day 2,could be improved for the Data management and wrangling,it could be a bit faster,NA
Day 2,worked well for the Creating reproducible documents,all good,NA
Day 2,worked well for the lecture presentations,good,NA
Day 2,could be improved for the lecture presentations,a bit more interaction,NA
Day 2,worked well for the Data management and wrangling,all options of data wrangling,NA
Day 2,could be improved for the Data management and wrangling,more practise,NA
Day 2,worked well for the Creating reproducible documents,all,NA
Day 2,could be improved for the Creating reproducible documents,more practise,NA
Day 2,worked well for the lecture presentations,group discussion,NA
Day 2,could be improved for the lecture presentations,nothing,NA
Day 2,worked well for the Data management and wrangling,all was great,NA
Day 2,could be improved for the Data management and wrangling,all was great,NA
Day 2,worked well for the Creating reproducible documents,all was fine,NA
Day 2,could be improved for the Creating reproducible documents,nothing special,NA
Day 2,worked well for the lecture presentations,perfect,NA
Day 2,could be improved for the lecture presentations,nothing special,NA
Day 2,worked well for the Data management and wrangling,it was good,NA
Day 2,could be improved for the Data management and wrangling,all computers needs to work beforehand,NA
Day 2,worked well for the Creating reproducible documents,"it was good, but a bit short",NA
Day 2,could be improved for the Creating reproducible documents,a bit faster,NA
Day 2,worked well for the lecture presentations,Standing up,NA
Day 2,could be improved for the lecture presentations,???,NA
