session_name,question,response,course_name
Day 1,"worked well for the Basic setup and workflow and Importing data, fast s","good speed, easy-to-follow and easy-to-understand session",NA
Day 1,"could be improved for the Basic setup and workflow and Importing data, fast s",sometimes too lengthy time for own excercise,NA
Day 1,"worked well for the Save time, don’t repeat yourself: Making functions","good speed, easy-to-follow and easy-to-understand session",NA
Day 1,"could be improved for the Save time, don’t repeat yourself: Making functions",too lengthy time for own excercise,NA
Day 1,"worked well for the Basic setup and workflow and Importing data, fast s",step vise introduction,NA
Day 1,"could be improved for the Basic setup and workflow and Importing data, fast s",more clear presentation of the goal,NA
Day 1,"worked well for the Save time, don’t repeat yourself: Making functions",the very simple first function explained the concept well,NA
Day 1,"could be improved for the Save time, don’t repeat yourself: Making functions",explain sourcing a bit deeper,NA
Day 1,"worked well for the Basic setup and workflow and Importing data, fast s",It was good to learn about how vroom works and how to use it in our data,NA
Day 1,"could be improved for the Basic setup and workflow and Importing data, fast s","The diagram explaining the workflow looks a bit confusing. I would try and simplify it a little bit, maybe by just showing each part independently for each session",NA
Day 1,"worked well for the Save time, don’t repeat yourself: Making functions","It was a good session, really helped to break down the structure of functions and how they work",NA
Day 1,"could be improved for the Save time, don’t repeat yourself: Making functions","no comments, great session",NA
Day 1,"worked well for the Basic setup and workflow and Importing data, fast s",Coding along and hands on was very good,NA
Day 1,"could be improved for the Basic setup and workflow and Importing data, fast s",Explain just a little more or more slowly what is been doing why when doing coding along. Just a little break of 1-2 minutes of explanations during the coding along,NA
Day 1,"worked well for the Save time, don’t repeat yourself: Making functions",same as above,NA
Day 1,"could be improved for the Save time, don’t repeat yourself: Making functions",same as above,NA
Day 1,"worked well for the Basic setup and workflow and Importing data, fast s",Examples,NA
Day 1,"could be improved for the Basic setup and workflow and Importing data, fast s",more explanation for reasons behind inserted codes,NA
Day 1,"worked well for the Save time, don’t repeat yourself: Making functions",Clarity,NA
Day 1,"could be improved for the Save time, don’t repeat yourself: Making functions",importance of moving and saving different files,NA
Day 1,"worked well for the Basic setup and workflow and Importing data, fast s",We learnt about vroom command and it worked very well.,NA
Day 1,"could be improved for the Basic setup and workflow and Importing data, fast s",Everything was okay.,NA
Day 1,"worked well for the Save time, don’t repeat yourself: Making functions",Making functions can save more time to repeat similar task for so many times.,NA
Day 1,"could be improved for the Save time, don’t repeat yourself: Making functions",Maybe bit more time should be specified for this session.,NA
Day 1,"worked well for the Basic setup and workflow and Importing data, fast s","A nice way to import data, very useful!",NA
Day 1,"could be improved for the Basic setup and workflow and Importing data, fast s",Maybe some exercises on how to combine csv-files in dataframes.,NA
Day 1,"worked well for the Save time, don’t repeat yourself: Making functions","Practising making functions is very useful, but I don't think I understand the full potential of this tool.",NA
Day 1,"could be improved for the Save time, don’t repeat yourself: Making functions","I need some ""real data""-applications for the functions. Importing, wrangling, modelling, visualizations etc.",NA
Day 1,"worked well for the Basic setup and workflow and Importing data, fast s","teaching, and backup for help",NA
Day 1,"could be improved for the Basic setup and workflow and Importing data, fast s",a bit slow in pace while running codes,NA
Day 1,"worked well for the Save time, don’t repeat yourself: Making functions",connection of the course setup,NA
Day 1,"could be improved for the Save time, don’t repeat yourself: Making functions",a bit slow in pace while running codes,NA
Day 1,"worked well for the Basic setup and workflow and Importing data, fast s",The typing of commands and getting results. Super nice tutors and lots of help.,NA
Day 1,"could be improved for the Basic setup and workflow and Importing data, fast s",the sticky notes - they keep falling of - but I have no better idea how to indicate that one is done.,NA
Day 1,"worked well for the Save time, don’t repeat yourself: Making functions",nice explanation and very good to follow.,NA
Day 1,"could be improved for the Save time, don’t repeat yourself: Making functions",still not totally sure how to apply this for my data but I guess that will just come along with practicing and during the days.,NA
Day 1,"worked well for the Basic setup and workflow and Importing data, fast s","the coding alongside the instructor and the use of ""stickies""",NA
Day 1,"could be improved for the Basic setup and workflow and Importing data, fast s","Personally, 4 examples is plenty. Progression to next exercise is a bit too slow for me",NA
Day 1,"worked well for the Save time, don’t repeat yourself: Making functions",Nice with detailed description of each element of a function,NA
Day 1,"could be improved for the Save time, don’t repeat yourself: Making functions",dont know,NA
Day 1,"worked well for the Basic setup and workflow and Importing data, fast s",The reading material is very good and easy to follow. Also the dynamic of the classes helps to keep attention even when the things get a bit more complicated.,NA
Day 1,"could be improved for the Basic setup and workflow and Importing data, fast s",Nothing to report,NA
Day 1,"worked well for the Save time, don’t repeat yourself: Making functions",The same comments as before,NA
Day 1,"could be improved for the Save time, don’t repeat yourself: Making functions",Nothing to report,NA
Day 1,"worked well for the Basic setup and workflow and Importing data, fast s",code along was nice. It was helpful to understand the steps involved to import data.files.,NA
Day 1,"could be improved for the Basic setup and workflow and Importing data, fast s",I think the content could have been covered in less time.,NA
Day 1,"worked well for the Save time, don’t repeat yourself: Making functions",Creating functions yourself seemed very useful.,NA
Day 1,"could be improved for the Save time, don’t repeat yourself: Making functions",I think the content could have been covered in less time.,NA
Day 1,"worked well for the Basic setup and workflow and Importing data, fast s","Code along, step-by-step approach",NA
Day 1,"could be improved for the Basic setup and workflow and Importing data, fast s",Define in the beginning why the column types are important to define,NA
Day 1,"worked well for the Save time, don’t repeat yourself: Making functions",Clear explanation about each part of the code,NA
Day 1,"could be improved for the Save time, don’t repeat yourself: Making functions",Provide some extra excercises,NA
Day 1,"worked well for the Basic setup and workflow and Importing data, fast s",Code-alongeasy access to helpstickiesdiscussionsGreat to switch methods/ways to learn,NA
Day 1,"could be improved for the Basic setup and workflow and Importing data, fast s",Shorter lunch break - perhaps 45 min?perhaps a word or two about git for those who is not familiar with the website (even though I know that was part of the pre-course preparation),NA
Day 1,"worked well for the Save time, don’t repeat yourself: Making functions",everything,NA
Day 1,"could be improved for the Save time, don’t repeat yourself: Making functions","A bit more description on why we are doing the specific things. However, to many details are also time consuming",NA
Day 1,"worked well for the Basic setup and workflow and Importing data, fast s",hands on,NA
Day 1,"could be improved for the Basic setup and workflow and Importing data, fast s",more contents and a bit faster,NA
Day 1,"worked well for the Save time, don’t repeat yourself: Making functions",hands on,NA
Day 1,"could be improved for the Save time, don’t repeat yourself: Making functions",more contents and a bit faster,NA
Day 1,"worked well for the Basic setup and workflow and Importing data, fast s","The format of reading, listening, discussing and coding. The learning manifested well.",NA
Day 1,"could be improved for the Basic setup and workflow and Importing data, fast s",Discussing what we would like out of importing data would be nice to initiate the workshop.,NA
Day 1,"worked well for the Save time, don’t repeat yourself: Making functions","The format of reading, listening, discussing and coding. The structure of getting the idea of developing an function are very well structured.",NA
Day 1,"could be improved for the Save time, don’t repeat yourself: Making functions","I think there could be more reflections on why we are taking the specific choice, when developing the functions.",NA
Day 1,"worked well for the Basic setup and workflow and Importing data, fast s",The code-along is a great setup when I run into problems. The code chunks seem fairly intuitive when you begin to learn to use them :),NA
Day 1,"could be improved for the Basic setup and workflow and Importing data, fast s",Nothing runs necessarily fast. I ran into a lot of problems with my own computer setup,NA
Day 1,"worked well for the Save time, don’t repeat yourself: Making functions",The session was presented well and in a nice tempo. The functions might make greater sense when I start to use them on my own data,NA
Day 1,"could be improved for the Save time, don’t repeat yourself: Making functions","It would be so nice to use your own data. Sometimes it gets to flurry, even though we are asked to relate the theory to our own practice",NA
Day 1,"worked well for the Basic setup and workflow and Importing data, fast s",stickers ! that we did code-alongs togetherthat it was easy to get help from instructors,NA
Day 1,"could be improved for the Basic setup and workflow and Importing data, fast s","a little more detail about what the different elements of the code reference to/means (fx -1 in ""col_select = -1"" means we delete column 1, details like that)",NA
Day 1,"worked well for the Save time, don’t repeat yourself: Making functions",seemed like a very useful tool ! easy to follow and get the code to work,NA
Day 1,"could be improved for the Save time, don’t repeat yourself: Making functions","I was a little confused about how the different ""Description"", ""functions.R"" and ""lesson.rmd"" work together and how to get this setup when trying it out on my own",NA
