session_name,question,response,course_name
Day 1,"worked well for the Basic setup and workflow and Importing data, fast s",learn to import large data set,NA
Day 1,"could be improved for the Basic setup and workflow and Importing data, fast s",nothing,NA
Day 1,"worked well for the Save time, don’t repeat yourself: Making functions",marking functions to save time,NA
Day 1,"could be improved for the Save time, don’t repeat yourself: Making functions",nothing,NA
Day 1,"worked well for the Basic setup and workflow and Importing data, fast s",Good explaining of the coding proces. Nice with the exercises,NA
Day 1,"could be improved for the Basic setup and workflow and Importing data, fast s",Maybe a little less group talk.,NA
Day 1,"worked well for the Save time, don’t repeat yourself: Making functions",The same as above.,NA
Day 1,"could be improved for the Save time, don’t repeat yourself: Making functions",Same as above,NA
Day 1,"worked well for the Basic setup and workflow and Importing data, fast s",The instructions on the website and the coding along,NA
Day 1,"could be improved for the Basic setup and workflow and Importing data, fast s",Perhaps take this one slowly as many people were lagging behind and new things were coming up that needed trouble shooting,NA
Day 1,"worked well for the Save time, don’t repeat yourself: Making functions",The coding along,NA
Day 1,"could be improved for the Save time, don’t repeat yourself: Making functions",I think it was well managed.,NA
Day 1,"worked well for the Basic setup and workflow and Importing data, fast s",Code along,NA
Day 1,"could be improved for the Basic setup and workflow and Importing data, fast s",Maybe less reading time,NA
Day 1,"worked well for the Save time, don’t repeat yourself: Making functions",Code along,NA
Day 1,"could be improved for the Save time, don’t repeat yourself: Making functions",Maybe more examples,NA
Day 1,"worked well for the Basic setup and workflow and Importing data, fast s",Everything ran very smooth throughout the day,NA
Day 1,"could be improved for the Basic setup and workflow and Importing data, fast s","I think sometimes it's quite stressful (applies to all sessions) when we are told to read something in e.g. ""10 minutes"", it actually makes me have to read things over again and taking longer because I feel stressed to read it in time and thus miss things",NA
Day 1,"worked well for the Save time, don’t repeat yourself: Making functions",As above,NA
Day 1,"could be improved for the Save time, don’t repeat yourself: Making functions",As above,NA
Day 1,"worked well for the Basic setup and workflow and Importing data, fast s","Good with small data sets, so you could see what happened",NA
Day 1,"could be improved for the Basic setup and workflow and Importing data, fast s",It was a bit slow session. In my opinion we could have speeded ud.,NA
Day 1,"worked well for the Save time, don’t repeat yourself: Making functions",Very smooth type along sessions. Time for this was good.,NA
Day 1,"could be improved for the Save time, don’t repeat yourself: Making functions",Could be nice to make more advanced functions.,NA
Day 1,"worked well for the Basic setup and workflow and Importing data, fast s",Easy to follow. Taking plenty of time to help everyone get through the exercises,NA
Day 1,"could be improved for the Basic setup and workflow and Importing data, fast s","Sometimes I would have liked that you explained what the different functions did. Also, an explanation in the beginning of what the pre-course set up did.",NA
Day 1,"worked well for the Save time, don’t repeat yourself: Making functions",Same as the first sessions,NA
Day 1,"could be improved for the Save time, don’t repeat yourself: Making functions",Don't know,NA
Day 1,"worked well for the Basic setup and workflow and Importing data, fast s",Very impressed over the structure. Help was fast. Everyone was prepared because f the pre-work. Well done.,NA
Day 1,"could be improved for the Basic setup and workflow and Importing data, fast s",No improvements needed,NA
Day 1,"worked well for the Save time, don’t repeat yourself: Making functions",No improvements needed,NA
Day 1,"could be improved for the Save time, don’t repeat yourself: Making functions",No improvements needed,NA
Day 1,"worked well for the Basic setup and workflow and Importing data, fast s","Good mix between reading exercises, code-along, individual coding time (with nice good opportunity for trouble-shooting with team-mates or supervisor).",NA
Day 1,"could be improved for the Basic setup and workflow and Importing data, fast s","Sometimes a bit of confusion, but as you say it's bound to happen, and it was always possible to catch up. Maybe would help if the line between ""help-time"" and ""speaker time"" was more clear, so that the speaker doesn't have to speak over the supervisors.",NA
Day 1,"worked well for the Save time, don’t repeat yourself: Making functions",Same as above,NA
Day 1,"could be improved for the Save time, don’t repeat yourself: Making functions","Less confusion in this session, also better division of help- and speaker time.",NA
