date,response
2026-02-05,It was so nice! Thank you :-)
2026-02-05,Hyggeligt at bo på stedet og at folk socialiserede om aftenen. Det var virkelig fornemt at der blev tilbudt overnatning og forplejning.
2026-02-05,Loved the workshop and hope I get a chance to attend the intermediate level! :)
2026-02-05,You have really done an amazing job with this course!
2026-02-05,"No, just that I really want to come back for the intermediate course :)"
2026-02-05,I really enjoyed it!
2026-02-05,Great experience!
