date,response
2022-03-03,Amazing work making R accessible for beginners. Thanks for the course :)
2022-03-03,Was a great course! :) Suggestion could be to include some additional material/exercises for researchers that are a bit more experienced
2022-03-03,I want to thank DDA and the instructors for offering such a great course. Looking forward to participate in intermediate course.
2022-03-03,"Better time management. Otherwise, great job! And thank you!"
2022-03-03,"Please, remember to put ""Energizers"" in to the program. We are sitting a lot with one-way-communication."
2022-03-03,a minor comment but may be the tables and chairs height could be adjusted
2022-03-03,The course was recommended by my officemate who participated in last year and I also will highly recommend it to anyone who is interested in using R and does not have that much knowledge on it like me :)
2022-03-03,Can we make it 4 days!! :D
